tot_tot_uniotis_tot, gcc_code16, gcc_name16
48613,"1RNSW","Rest of NSW"
170298,"1GSYD","Greater Sydney"
24132,"2RVIC","Rest of Vic."
155481,"2GMEL","Greater Melbourne"
80749,"3GBRI","Greater Brisbane"
49097,"3RQLD","Rest of Qld"
3522,"4RSAU","Rest of SA"
39917,"4GADE","Greater Adelaide"
60209,"5GPER","Greater Perth"
5620,"5RWAU","Rest of WA"
6349,"6GHOB","Greater Hobart"
3943,"6RTAS","Rest of Tas."
1583,"7RNTE","Rest of NT"
4771,"7GDAR","Greater Darwin"
22878,"8ACTE","Australian Capital Territory"
46,"9OTER","Other Territories"
